PLAYER,TEAM,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,WAR,CYA
"
JustinVerlander
",HOU,21,6,2.58,34,34,2,1,0,0,223,137,66,64,36,6,42,300,0.8,0.172,7.4,1
"
ShaneBieber
",CLE,15,8,3.28,34,33,3,2,0,0,214.1,186,86,78,31,6,40,259,1.05,0.23,4.8,0
"
GerritCole
",HOU,20,5,2.5,33,33,0,0,0,0,212.1,142,66,59,29,3,48,326,0.89,0.186,6.6,0
"
LanceLynn
",TEX,16,11,3.67,33,33,0,0,0,0,208.1,195,89,85,21,8,59,246,1.22,0.243,7.7,0
"
MikeMinor
",TEX,14,10,3.59,32,32,2,1,0,0,208.1,190,86,83,30,7,68,200,1.24,0.244,8,0
"
EduardoRodriguez
",BOS,19,6,3.81,34,34,0,0,0,0,203.1,195,88,86,24,7,75,213,1.33,0.253,5.5,0
"
MarcoGonzales
",SEA,16,13,3.99,34,34,0,0,0,0,203,210,106,90,23,6,56,147,1.31,0.264,2.9,0
"
JoseBerrios
",MIN,14,8,3.68,32,32,1,0,0,0,200.1,194,94,82,26,9,51,195,1.22,0.251,3.6,0
"
CharlieMorton
",TB,16,6,3.05,33,33,0,0,0,0,194.2,154,71,66,15,12,57,240,1.08,0.215,4.9,0
"
IvanNova
",CWS,11,12,4.72,34,34,2,0,0,0,187,225,107,98,30,9,47,114,1.45,0.303,1.9,0
"
MatthewBoyd
",DET,9,12,4.56,32,32,0,0,0,0,185.1,178,101,94,39,8,50,238,1.23,0.247,3.8,0
"
MikeFiers
",OAK,15,4,3.9,33,33,1,1,0,0,184.2,166,82,80,30,9,53,126,1.19,0.243,3.4,0
"
ReynaldoLopez
",CWS,10,15,5.38,33,33,1,0,0,0,184,203,119,110,35,8,65,169,1.46,0.278,0.3,0
"
MasahiroTanaka
",NYY,11,9,4.45,32,31,1,1,0,0,182,186,95,90,28,2,40,149,1.24,0.261,1.9,0
"
LucasGiolito
",CWS,14,9,3.41,29,29,3,2,0,0,176.2,131,69,67,24,4,57,228,1.06,0.205,5.5,0
"
BrettAnderson
",OAK,13,9,3.89,31,31,0,0,0,0,176,181,80,76,20,4,49,90,1.31,0.265,2.9,0
"17
JakobJunis
P",KC,9,14,5.24,31,31,0,0,0,0,175.1,192,108,102,31,11,58,164,1.43,0.276,1.3,0
"
RickPorcello
",BOS,14,12,5.52,32,32,0,0,0,0,174.1,198,114,107,31,6,45,143,1.39,0.278,0.9,0
"
WadeMiley
",HOU,14,6,3.98,33,33,0,0,0,0,167.1,164,83,74,23,5,61,140,1.34,0.254,1.6,0
"
BradKeller
",KC,7,14,4.19,28,28,0,0,0,0,165.1,154,80,77,15,9,70,122,1.35,0.247,3,0
"
MartinPerez
",MIN,10,7,5.12,32,29,0,0,0,0,165.1,184,104,94,23,3,67,135,1.52,0.279,0.4,0
"
HomerBailey
",OAK,13,9,4.57,31,31,0,0,0,0,163.1,162,84,83,21,4,53,149,1.32,0.256,1,0
