PLAYER,TEAM,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
F Valdez,HOU,17,6,2.82,31,31,3,1,0,0,201.1,166,71,63,11,11,67,194,1.16,0.223
G Cole,NYY,13,8,3.5,33,33,0,0,0,0,200.2,154,81,78,33,2,50,257,1.02,0.209
S Bieber,CLE,13,8,2.88,31,31,1,0,0,0,200,172,70,64,18,2,36,198,1.04,0.23
A Manoah,TOR,16,7,2.24,31,31,0,0,0,0,196.2,144,55,49,16,15,51,180,0.99,0.202
M Pérez,TEX,12,8,2.89,32,32,1,1,0,0,196.1,178,70,63,11,6,69,169,1.26,0.241
T McKenzie,CLE,11,11,2.96,31,30,0,0,0,0,191.1,138,65,63,25,5,44,190,0.95,0.201
R Ray,SEA,12,12,3.71,32,32,0,0,0,0,189,163,80,78,32,7,62,212,1.19,0.231
C Quantrill,CLE,15,5,3.38,32,32,0,0,0,0,186.1,178,78,70,21,10,47,128,1.21,0.254
L Gilbert,SEA,13,6,3.2,32,32,0,0,0,0,185.2,170,71,66,19,6,49,174,1.18,0.242
D Cease,CWS,14,8,2.2,32,32,1,1,0,0,184,126,55,45,16,3,78,227,1.11,0.19
M Gonzales,SEA,10,15,4.13,32,32,0,0,0,0,183,194,97,84,30,7,50,103,1.33,0.271
C Irvin,OAK,9,13,3.98,30,30,0,0,0,0,181,174,87,80,25,7,36,128,1.16,0.251
N Pivetta,BOS,10,12,4.56,33,33,1,0,0,0,179.2,175,91,91,27,5,73,175,1.38,0.253
J Lyles,BAL,12,11,4.42,32,32,1,0,0,0,179,196,94,88,26,8,52,144,1.39,0.276
J Taillon,NYY,14,5,3.91,32,32,0,0,0,0,177.1,168,78,77,26,5,32,151,1.13,0.246
J Verlander,HOU,18,4,1.75,28,28,0,0,0,0,175,116,43,34,12,6,29,185,0.83,0.186
K Gausman,TOR,12,10,3.35,31,31,0,0,0,0,174.2,188,72,65,15,1,28,205,1.24,0.272
J Berríos,TOR,12,7,5.23,32,32,0,0,0,0,172,199,103,100,29,11,45,149,1.42,0.288
S McClanahan,TB,12,8,2.54,28,28,0,0,0,0,166.1,116,52,47,19,3,38,194,0.93,0.194
S Ohtani,LAA,15,9,2.33,28,28,0,0,0,0,166,124,45,43,14,2,44,219,1.01,0.203
J Urquidy,HOU,13,8,3.94,29,28,0,0,0,0,164.1,154,74,72,29,7,38,134,1.17,0.244
C Kluber,TB,10,10,4.34,31,31,0,0,0,0,164,178,82,79,20,10,21,139,1.21,0.274
